rank,model,feature,importance,raw_value,importance_type
112,AdaBoost,Last Regimen_AZT-TDF-3TC-LPV/r,0.0,0.0,estimator_feature_importance
113,AdaBoost,Last Regimen_AZT-3TC-NVP,0.0,0.0,estimator_feature_importance
114,AdaBoost,Last Regimen_D4T+3TC+EFV,0.0,0.0,estimator_feature_importance
115,AdaBoost,Last Regimen_D4T-3TC-EFV,0.0,0.0,estimator_feature_importance
116,AdaBoost,Last Regimen_DDI-3TC-EFV,0.0,0.0,estimator_feature_importance
117,AdaBoost,Last Regimen_AZT-3TC-TDF,0.0,0.0,estimator_feature_importance
118,AdaBoost,Last Regimen_TDF+3TC+ATV/r,0.0,0.0,estimator_feature_importance
119,AdaBoost,Last Regimen_TDF+3TC+EFV,0.0,0.0,estimator_feature_importance
120,AdaBoost,Last Regimen_TDF+3TC+LPV/r,0.0,0.0,estimator_feature_importance
121,AdaBoost,Last Regimen_TDF+3TC+NVP,0.0,0.0,estimator_feature_importance
122,AdaBoost,Last Regimen_TDF+FTC+DTG,0.0,0.0,estimator_feature_importance
123,AdaBoost,Last Regimen_TDF+FTC+EFV,0.0,0.0,estimator_feature_importance
124,AdaBoost,Last Regimen_TDF+FTC+LPV/r,0.0,0.0,estimator_feature_importance
125,AdaBoost,Last Regimen_AZT-TDF-NVP,0.0,0.0,estimator_feature_importance
126,AdaBoost,Last Regimen_TDF+FTC+NVP,0.0,0.0,estimator_feature_importance
127,AdaBoost,Last Regimen_TDF-3TC-ATV/r,0.0,0.0,estimator_feature_importance
128,AdaBoost,Last Regimen_TDF-3TC-EFV,0.0,0.0,estimator_feature_importance
129,AdaBoost,Last Regimen_TDF-3TC-DTG,0.0,0.0,estimator_feature_importance
130,AdaBoost,Last Regimen_TDF-3TC-NVP,0.0,0.0,estimator_feature_importance
131,AdaBoost,Last Regimen_TDF-FTC-ATV/r,0.0,0.0,estimator_feature_importance
132,AdaBoost,Last Regimen_TDF-FTC-DTG,0.0,0.0,estimator_feature_importance
133,AdaBoost,Last Regimen_TDF-3TC-LPV/r,0.0,0.0,estimator_feature_importance
134,AdaBoost,Last Regimen_TDF-FTC-EFV,0.0,0.0,estimator_feature_importance
135,AdaBoost,Last Regimen_TDF-FTC-LPV/r,0.0,0.0,estimator_feature_importance
136,AdaBoost,Last Regimen_d4T+3TC+NVP,0.0,0.0,estimator_feature_importance
137,AdaBoost,Last Regimen_TDF-FTC-NVP,0.0,0.0,estimator_feature_importance
138,AdaBoost,Last Regimen_d4T-3TC-LPV/r,0.0,0.0,estimator_feature_importance
139,AdaBoost,Last Regimen_d4T-3TC-NVP,0.0,0.0,estimator_feature_importance
140,AdaBoost,Patient Transferred In_True,0.0,0.0,estimator_feature_importance
141,AdaBoost,Viral Load Category_Unsuppressed,0.0,0.0,estimator_feature_importance
